date,langue,note,sentiment,texte,source,nb_mots,mois,mois_str,texte_clean
2025-01-28,FR,5,positif,Meilleure adresse burger que j'ai testée au Maroc.,Google Maps,8,2025-01,Jan 2025,meilleure adresse j'ai testée maroc
2025-08-13,FR,3,mitigé,J'aime l'endroit mais la musique était beaucoup trop forte ce soir-là.,TripAdvisor,11,2025-08,Aug 2025,j'aime l'endroit musique forte soir-là
2026-03-24,FR,3,mitigé,Burgers corrects mais on est loin des éloges qu'on lit sur internet.,TripAdvisor,12,2026-03,Mar 2026,corrects loin éloges qu'on lit internet
2026-01-18,FR,5,positif,"En résumé, très belle carte avec plein de choix pour tous les goûts.",Google Maps,13,2026-01,Jan 2026,résumé belle carte plein choix tous goûts
2025-03-17,FR,1,négatif,"Prix exorbitants pour des portions de plus en plus petites, déception totale.",TripAdvisor,12,2025-03,Mar 2025,prix exorbitants portions petites déception totale
2025-11-28,EN,5,positif,The staff was super helpful recommending dishes. All excellent.,TripAdvisor,9,2025-11,Nov 2025,staff super helpful recommending dishes excellent
2025-11-18,FR,4,mitigé,J'aime l'endroit mais la musique était beaucoup trop forte ce soir-là.,Google Maps,11,2025-11,Nov 2025,j'aime l'endroit musique forte soir-là
2025-04-21,EN,4,positif,Must visit if you're in Casablanca. The fries are incredible too.,Google Maps,11,2025-04,Apr 2025,must visit fries incredible
2026-01-08,FR,1,négatif,Qualité en baisse par rapport à mes visites précédentes il y a un an.,TripAdvisor,14,2026-01,Jan 2026,qualité baisse rapport visites précédentes
2025-01-29,EN,2,négatif,No gluten-free bun available even though it's on the menu. Very misleading.,TripAdvisor,12,2025-01,Jan 2025,gluten-free bun available even though menu misleading
2025-06-12,FR,3,mitigé,Pas mal du tout mais le bruit ambiant rend la conversation difficile.,Google Maps,12,2025-06,Jun 2025,mal bruit ambiant rend conversation difficile
2025-04-24,FR,1,négatif,"Service au bord de l'impolitesse, le staff semblait peu motivé.",Google Maps,10,2025-04,Apr 2025,service bord l'impolitesse staff semblait motivé
2025-02-28,EN,5,positif,"The milkshakes here are unbelievably good, try the caramelized one.",TripAdvisor,10,2025-02,Feb 2025,milkshakes unbelievably try caramelized one
2025-12-09,FR,4,positif,"Les burgers sont juteux et savoureux, on reviendra sans hésiter.",Google Maps,10,2025-12,Dec 2025,juteux savoureux reviendra sans hésiter
2025-06-09,EN,5,positif,"Best burger I've had in Morocco, hands down. Juicy, fresh, amazing.",Google Maps,11,2025-06,Jun 2025,best morocco hands juicy fresh amazing
2025-12-08,FR,4,positif,"On a testé cinq burgers différents, tous excellents sans exception.",Google Maps,10,2025-12,Dec 2025,testé cinq différents tous excellents sans exception
2025-07-15,FR,5,positif,"Vraiment, accueil chaleureux dès l'entrée, l'équipe est vraiment sympa.",TripAdvisor,9,2025-07,Jul 2025,accueil chaleureux dès l'entrée l'équipe sympa
2025-12-03,FR,2,négatif,"Attente de plus d'une heure un samedi soir, inacceptable pour un fast-food gourmet.",TripAdvisor,13,2025-12,Dec 2025,attente d'une heure samedi soir inacceptable fast-food gourmet
2025-12-26,FR,3,mitigé,"En résumé, l'expérience était bien mais le dessert a tardé anormalement longtemps.",TripAdvisor,12,2025-12,Dec 2025,résumé l'expérience dessert tardé anormalement longtemps
2025-05-01,FR,4,positif,"Ambiance New-York au cœur de Casa, j'adore l'endroit.",TripAdvisor,8,2025-05,May 2025,ambiance new-york cœur j'adore l'endroit
2025-04-24,AR,2,négatif,السعر مبالغ فيه لهذا المستوى من الخدمة.,TripAdvisor,7,2025-04,Apr 2025,السعر مبالغ فيه لهذا المستوى الخدمة
2025-11-26,FR,5,positif,"La carte change selon les saisons, c'est une bonne idée.",Google Maps,10,2025-11,Nov 2025,carte change selon saisons bonne idée
2025-04-29,EN,4,positif,Absolutely blown away by the quality. Will definitely come back.,TripAdvisor,10,2025-04,Apr 2025,absolutely blown away quality definitely come back
2025-11-10,FR,5,positif,"En résumé, le Rossini burger au foie gras est une expérience gastronomique.",Google Maps,12,2025-11,Nov 2025,résumé rossini foie gras expérience gastronomique
2025-02-17,FR,4,positif,"En résumé, les milk-shakes sont divins et les frites croustillantes à souhait.",TripAdvisor,12,2025-02,Feb 2025,résumé milk-shakes divins frites croustillantes souhait
2025-04-12,FR,4,mitigé,"Le pain était légèrement sec, dommage car le reste était très bon.",Google Maps,12,2025-04,Apr 2025,pain légèrement sec dommage reste bon
2025-09-14,EN,2,négatif,"Found plastic in the coleslaw, staff just apologized and offered dessert. Not ok.",Google Maps,13,2025-09,Sep 2025,found plastic coleslaw staff apologized offered dessert
2025-06-04,FR,4,positif,"Burger cuit exactement comme demandé, médium parfait.",Google Maps,7,2025-06,Jun 2025,cuit exactement demandé médium parfait
